Citation,Continent,Country,Latitude,Longtitude,asl,MAT,MAP,Vegetation species,Forest age,soilCN,Duration,Ambient_level,Manipulated_level,dco2,Fumigation,Response_variable,R,v,Note
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,0.12 ,0.67 ,Duke FACE
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,-0.29 ,0.67 ,Duke FACE
Allen et al. 2000,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,36.0 ,365,565,200,FACE,Nmin,-1.04 ,0.67 ,Duke FACE
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,N2O,0.67 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,N2O,-0.24 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.14 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,-0.17 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.32 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.17 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.02 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,Denitri,0.11 ,0.40 ,
Ambus & Robertson 1999,North America,USA,45.57 ,-84.67 ,217 ,6.1 ,792 ,Populus tremuloides,seedling,9.93,24.0 ,372,744,372,OTC,TIN,0.07 ,0.40 ,
Arnone & Gordon 1990,North America,USA,36.00 ,-78.94 ,70 ,14.5 ,1010 ,Alnus rubra,seedling,18.9 ,1.5 ,350,650,300,Growth Chamber,BNF,0.52 ,0.40 ,symbiotic N-fixing
Arnone & Gordon 1990,North America,USA,36.00 ,-78.94 ,70 ,14.5 ,1010 ,Alnus rubra,seedling,18.9 ,1.5 ,350,650,300,Growth Chamber,BNF,0.71 ,0.40 ,symbiotic N-fixing
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,SOC,0.03 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Stembiomass,0.01 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Rootbiomass,0.14 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
"Arnone and K?rner, 1995",Europe,Costa Rica,9.61 ,-83.82 ,283 ,20.0 ,2614 ,"Elettaria cardamomum, Ficus benjamina, E pumila, Epipremnum pinnatum, Ctenanthe lubbersiana, Heliconia humilis, Cecropia peltata",seedling,,18.0 ,340,610,270,Greenhouse,Leafbiomass,0.03 ,1.00 ,"Sampling in Costa Rica, cultivation in Switzerland"
Barron-Gafford et al. 2005,North America,USA,32.58 ,-110.93 ,1174,18.8 ,423 ,Populus deltoides,seedling,8.8 ,48.0 ,400,800,400,Growth Chamber,Rs,0.34 ,0.40 ,
Barron-Gafford et al. 2005,North America,USA,32.58 ,-110.93 ,1174,18.8 ,423 ,Populus deltoides,seedling,8.8 ,48.0 ,400,1200,800,Growth Chamber,Rs,0.54 ,0.40 ,
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,-0.69 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,1.19 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,-0.52 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,1.10 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,48.0 ,384,565,181,FACE,ANPP,2.89 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,60.0 ,384,565,181,FACE,ANPP,0.00 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,60.0 ,384,565,181,FACE,ANPP,0.90 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,60.0 ,384,565,181,FACE,ANPP,-0.11 ,1.00 ,Oak Ridge FACE
Belote et al. 2003,North America,USA,35.90 ,-84.33 ,230,13.9 ,1371 ,Liquidambar styraciflua,10,7.4,60.0 ,384,565,181,FACE,ANPP,1.61 ,1.00 ,Oak Ridge FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.14 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.16 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.17 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.17 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.16 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.14 ,0.67 ,Duke FACE
Bernhardt et al. 2006,North America,USA,35.97 ,-79.08 ,130,15.5 ,1145 ,Pinus  taeda,13,18.1,84.0 ,365,565,200,FACE,Rs,0.09 ,0.67 ,Duke FACE
Berntson & Bazzaz 1997,North America,USA,42.54 ,-72.19 ,347 ,7.1 ,1103 ,"Betula papyrifera, Betula alleghaniensis",seedling,26.4 ,24.0 ,375,700,325,Growth Chamber,SoilNH4+,-0.23 ,0.33 ,
Berntson & Bazzaz 1997,North America,USA,42.54 ,-72.19 ,347 ,7.1 ,1103 ,"Betula papyrifera, Betula alleghaniensis",seedling,26.4 ,24.0 ,375,700,325,Growth Chamber,SoilNH4+,0.02 ,0.67 ,
Bloor et al.  2009,Europe,France,47.48 ,11.04 ,765 ,6.5 ,1338 ,Fraxinus excelsior,seedling,10.7,5.0 ,380,645,265,Growth Chamber,Rootbiomass,0.04 ,0.33 ,
Bloor et al.  2009,Europe,France,47.48 ,11.04 ,765 ,6.5 ,1338 ,Fraxinus excelsior,seedling,10.7,5.0 ,380,645,265,Growth Chamber,Rootbiomass,0.39 ,0.33 ,
Bloor et al.  2009,Europe,France,47.48 ,11.04 ,765 ,6.5 ,1338 ,Fraxinus excelsior,seedling,10.7,5.0 ,380,645,265,Growth Chamber,Root[N],0.00 ,0.33 ,
Bloor et al.  2009,Europe,France,47.48 ,11.04 ,765 ,6.5 ,1338 ,Fraxinus excelsior,seedling,10.7,5.0 ,380,645,265,Growth Chamber,Root[N],-0.17 ,0.33 ,
Boerner et al.  1995,North America,USA,39.98 ,-75.42 ,123 ,11.5 ,1169 ,"Prunus serotina, Acer saccharum, Liriodendron tulipifera",seedling,12.3 ,24.0 ,350,550,200,OTC,Leaf[N],0.37 ,0.67 ,
Boerner et al.  1996,North America,USA,39.98 ,-75.42 ,123 ,11.5 ,1169 ,"Acer fagus, Fraxinus ulmus, Quercus palustris",seedling,12.3 ,120.0 ,350,550,200,OTC,Leafbiomass,0.00 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,0.08 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,0.10 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Fraxinus excelsior,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,0.03 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Fraxinus excelsior,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,-0.05 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,0.52 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Rootbiomass,0.52 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.17 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.22 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Fraxinus excelsior,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.28 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Fraxinus excelsior,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.26 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.03 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Leaf[N],-0.01 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Leafbiomass,0.43 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Quercus petraea,1,56.2 ,36.0 ,350,700,350,OTC,Leafbiomass,0.43 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Leafbiomass,0.55 ,0.67 ,
Broadmeadow et al.  2000,Europe,UK,51.18 ,-0.85 ,119 ,10.0 ,822 ,Pinus sylvestris,1,56.2 ,36.0 ,350,700,350,OTC,Leafbiomass,0.14 ,0.67 ,
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus alba,seedling,8.46,36.0 ,370,550,180,FACE,NPP,0.39 ,0.33 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus nigra,seedling,8.46,36.0 ,370,550,180,FACE,NPP,0.22 ,0.33 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus x euramericana,seedling,8.46,36.0 ,370,550,180,FACE,NPP,0.38 ,0.33 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus x euramericana,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.15 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus alba,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.22 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus nigra,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.21 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus x euramericana,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.20 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus alba,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.25 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus nigra,seedling,8.46,36.0 ,370,550,180,FACE,NUE,0.24 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus alba,seedling,8.46,36.0 ,370,550,180,FACE,Nmin,-1.02 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus nigra,seedling,8.46,36.0 ,370,550,180,FACE,Nmin,0.05 ,0.67 ,POP-EUROFACE
Calfapietra et al. 2007,Europe,Italy,42.62 ,11.85 ,150,14.1 ,418 ,Populus x euramericana,seedling,8.46,36.0 ,370,550,180,FACE,Nmin,-1.10 ,0.67 ,POP-EUROFACE
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,Leaf[N],-0.21 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,Leaf[N],-0.27 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,Leaf[N],-0.27 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,Leaf[N],-0.14 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,Leaf[N],-0.05 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,WUE,1.02 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,WUE,0.86 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,WUE,0.93 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,WUE,1.08 ,1.00 ,
Cao et al.  2007,North America,Canada,48.42 ,-89.25 ,194 ,25.0 ,719 ,Betula papyrifera,seedling,17.7 ,3.0 ,360,720,360,Greenhouse,WUE,1.00 ,1.00 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,N2O,-0.12 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,16.5,48.0 ,350,750,400,OTC,N2O,0.87 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,Denitri,0.24 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,16.5,48.0 ,350,750,400,OTC,Denitri,0.96 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,Nit,0.70 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,16.5,48.0 ,350,750,400,OTC,Nit,0.04 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,SoilNH4+,-0.01 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,SoilNO3-,0.10 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,TIN,0.03 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,14.7,48.0 ,350,750,400,OTC,Nmin,-0.05 ,0.40 ,
Carnol et al. 2002,Europe,Belgium,50.65 ,3.85 ,38 ,10.1 ,773 ,Pinus sylvestris,seedling,16.5,48.0 ,350,750,400,OTC,Nmin,0.03 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.19 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.18 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Albizia adinocephala,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.15 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Chrysophyllum cainito,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.23 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Coccoloba uvifera,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.05 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Dalbergia retusa,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.28 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Hieronyma alchorneoides,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.25 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Inga punctata,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.13 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Pachira quinata,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.34 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Schizolobium parahyba,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.50 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.48 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.33 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.28 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.24 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.42 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,Anet,0.69 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Albizia adinocephala,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.46 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Chrysophyllum cainito,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.28 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Coccoloba uvifera,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.42 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Dalbergia retusa,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.38 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Hieronyma alchorneoides,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.43 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Inga punctata,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.46 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Pachira quinata,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.34 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Schizolobium parahyba,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.62 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.40 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.37 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.54 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Swietenia macrophylla,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.43 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.56 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.58 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.81 ,0.40 ,
Cernusak et al.2011,South America,Panama,9.12 ,-79.70 ,28,27.0 ,1820 ,Ormosia macrocalyx,seedling,10.2,6.0 ,400,700,300,Greenhouse,WUE,0.65 ,0.40 ,
Comstedt et al. 2006,Europe,Sweden,64.12 ,19.45 ,310,2.5 ,600 ,Norway spruce,28,60.7 ,24.0 ,360,720,360,Whole-tree Chamber (WTC),Rs,0.38 ,0.67 ,
Comstedt et al. 2006,Europe,Sweden,64.12 ,19.45 ,310,2.5 ,600 ,Norway spruce,28,60.7 ,24.0 ,360,720,360,Whole-tree Chamber (WTC),Rs,0.45 ,0.67 ,
Couture et al.  2012,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,Populus tremuloides,9,12.9,132.0 ,360,560,200,FACE,Leaf[N],-0.12 ,0.67 ,"FACTS-II, Aspen FACE"
Couture et al.  2012,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,"Betula papyrifera, Populus tremuloides",9,12.9,132.0 ,360,560,200,FACE,Leaf[N],0.00 ,0.67 ,"FACTS-II, Aspen FACE"
Couture et al.  2014,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,Populus tremuloides,9,12.9,96.0 ,360,560,200,FACE,Leaf[N],-0.04 ,0.67 ,"FACTS-II, Aspen FACE"
Couture et al.  2014,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,Populus tremuloides,9,12.9,96.0 ,360,560,200,FACE,Leaf[N],-0.08 ,0.67 ,"FACTS-II, Aspen FACE"
Couture et al.  2017,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,Populus tremuloides,9,12.9,36.0 ,347,548,201,FACE,Leaf[N],-0.05 ,0.67 ,"FACTS-II, Aspen FACE"
Couture et al.  2017,North America,USA,45.70 ,-89.50 ,490,6.4 ,821 ,"Betula papyrifera, Populus tremuloides",9,12.9,36.0 ,347,548,201,FACE,Leaf[N],-0.08 ,0.67 ,"FACTS-II, Aspen FACE"
